trail_id,name,state_name,popularity,length,difficulty_rating,visitor_usage,avg_rating
10020048,Harding Ice Field Trail,Alaska,24.8931,15610.598,5,3.0,5.0
10236086,Mount Healy Overlook Trail,Alaska,18.0311,6920.161999999999,3,1.0,4.5
10267857,Exit Glacier Trail,Alaska,17.7821,2896.812,1,3.0,4.5
10236076,Horseshoe Lake Trail,Alaska,16.2674,3379.614,1,2.0,4.5
10236082,Triple Lakes Trail,Alaska,12.5935,29772.79,5,1.0,4.5
10241620,Bison Gulch,Alaska,8.8331,11265.38,5,1.0,4.5
10236080,Rock Creek Trail,Alaska,7.6876,7081.096,3,1.0,4.0
10236075,Taiga Trail,Alaska,5.9038,2574.944,3,1.0,4.0
10236084,McKinley Station Trail,Alaska,5.8885,4667.085999999999,1,1.0,4.5
10327620,Mount Thorofare Ridge Loop,Alaska,5.7989999999999995,6598.294,5,1.0,4.5
10265252,McKinley Bar Trail,Alaska,5.6536,7402.964,1,2.0,4.0
10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Alaska,4.6043,4828.02,3,2.0,4.5
10265251,Blueberry Hill Trail,Alaska,4.1956,1448.406,3,2.0,4.5
10393562,Stampede Trail to Sushana River,Alaska,3.958,61476.788,5,1.0,4.5
10262541,Bartlett Cove Forest Loop Trail,Alaska,3.8939,1770.274,1,2.0,4.5
10358126,Camp Ridge Trail,Alaska,3.6654,6759.228,5,1.0,5.0
10236078,Jonesville Trail,Alaska,3.4891,1448.406,1,1.0,4.0
10343441,Roadside Trail,Alaska,3.3846,5471.755999999999,1,2.0,4.0
10023165,Quigley Ridge Trail,Alaska,3.304,14644.993999999999,3,,4.5
10333569,Bison Gulch to Denali Visitors Center,Alaska,2.7746,15771.532,5,2.0,5.0
10347459,Brooks Falls,Alaska,2.4937,4667.085999999999,1,2.0,4.5
10302108,Bartlett River Trail,Alaska,2.33,11104.446000000002,1,1.0,3.0
10333558,McKinley Station and Morino Loop Trail,Alaska,2.0877,1448.406,3,2.0,3.0
10513937,Dumpling Mountain,Alaska,2.0328,4828.02,3,1.0,4.0
10333557,Spruce Tree Trail,Alaska,1.8986,643.736,1,2.0,3.0
10302122,Bartlet Lake Trail,Alaska,1.86,9495.106,1,1.0,3.5
10265266,Eldorado Creek Trail,Alaska,1.8030000000000002,13679.39,3,2.0,0.0
10302112,Tlingit Trail,Alaska,1.3701,1770.274,1,1.0,3.5
10302114,Point Gustavus,Alaska,1.3415,20116.75,3,1.0,4.0
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,Arizona,37.4791,28485.318,5,3.0,5.0
10016964,South Kaibab Trail to Cedar Ridge,Arizona,36.2709,4988.954000000001,3,3.0,5.0
10237812,Three-Mile Resthouse via Bright Angel Trail,Arizona,33.256,8690.436,5,3.0,4.5
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Arizona,31.6323,26875.978,5,3.0,5.0
10265905,South Kaibab Trail to Ooh Aah Point,Arizona,28.8685,2896.812,3,3.0,5.0
10266148,Grand Canyon Rim Trail,Arizona,28.2035,8690.436,1,3.0,4.5
10094721,Rim-to-Rim: North Kaibab to Grand Canyon Village,Arizona,24.0229,34761.744,5,3.0,5.0
10026816,Shoshone Point Trail,Arizona,22.7206,3379.614,1,1.0,5.0
10235665,Plateau Point Trail via Bright Angel Trail,Arizona,22.5006,19633.948,5,3.0,5.0
10266521,South Kaibab Trail to Skeleton Point,Arizona,22.1688,8690.436,5,2.0,5.0
10016127,Grand Canyon West Rim Trail,Arizona,21.651999999999997,20599.552,1,3.0,4.5
10034910,Bridal Wreath Falls Trail,Arizona,20.8545,9012.304,3,2.0,4.5
10337353,1.5 Mile Resthouse via Bright Angel Trail,Arizona,20.0835,4667.085999999999,3,3.0,4.5
10013850,Bright Angel Point Trail,Arizona,19.8228,1448.406,1,3.0,4.5
10031380,Wasson Peak Trail,Arizona,18.8699,12713.786,3,3.0,4.5
10304374,Indian Garden via Bright Angel Trail,Arizona,16.7412,13196.588,5,3.0,5.0
10236025,Blue Mesa Trail,Arizona,15.5733,1448.406,1,3.0,4.5
10013966,King Canyon Trail to Wasson Peak,Arizona,15.5,11426.313999999998,3,2.0,4.5
10004120,Grandview Trail Loop,Arizona,14.8144,18668.343999999997,7,2.0,5.0
10006500,Hermit Trail,Arizona,14.7746,24783.836,5,2.0,4.5
10259347,Grandview Point to Horseshoe Mesa Trail,Arizona,14.7248,8851.37,3,1.0,5.0
10041313,North Kaibab Trail to Roaring Springs,Arizona,14.6866,13518.456,5,2.0,4.5
10244240,Wasson Peak via Sweetwater Trail,Arizona,14.3846,14966.862,5,3.0,4.5
10111405,Douglas Spring Trail,Arizona,14.3478,26715.043999999998,3,2.0,4.5
10286650,South Kaibab Trail to Phantom Ranch,Arizona,13.8468,21565.156000000003,5,3.0,5.0
10031336,Widforss Trail,Arizona,13.3343,14644.993999999999,3,2.0,4.5
10031337,Transept Trail,Arizona,12.6285,4667.085999999999,3,2.0,4.0
10304469,Yavapai Point via Rim Trail,Arizona,12.5954,2574.944,1,3.0,4.5
10273263,Bright Angel Trail: South Rim to Phantom Ranch,Arizona,12.4801,28968.12,5,3.0,5.0
10000811,Cape Royal Trail,Arizona,12.4222,1609.34,1,2.0,4.5
10009957,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,Arizona,12.4044,31060.262000000002,7,3.0,5.0
10006953,Tanque Verde Ridge Trail,Arizona,12.392999999999999,32186.8,7,2.0,4.5
10297089,Rim to Rim Trail Segment: Indian Garden to Colorado River,Arizona,12.3532,9656.04,7,2.0,5.0
10040243,North Kaibab Trail to Colorado River,Arizona,12.302,45061.52,7,1.0,4.5
10026822,Cape Final,Arizona,12.0834,6437.36,1,,4.5
10242023,Mica View Loop Trail,Arizona,11.8629,5954.558000000001,1,2.0,4.0
10255289,Phantom Ranch to Ribbon Falls via North Kaibab Trail,Arizona,11.8608,19151.146,5,3.0,5.0
10004435,Hugh Norris Trail,Arizona,11.8001,14323.126,3,,4.5
10258667,North Kaibab Trail to Supai Tunnel and Coconino Overlook,Arizona,11.7107,5954.558000000001,3,2.0,4.5
10236026,Crystal Forest Trail,Arizona,11.5545,1448.406,1,1.0,4.5
10258648,Hermit's Rest Viewpoint  to Santa Maria Spring,Arizona,11.1051,5471.755999999999,3,,4.5
10257085,South Kaibab to North Kaibab to Bright Angel Trail,Arizona,11.0836,65822.006,7,3.0,5.0
10236022,Painted Desert Rim Trail,Arizona,10.9378,1770.274,1,1.0,4.0
10018269,Petrified Forest Scenic Drive,Arizona,10.9165,46027.124,3,2.0,4.5
10265749,Bright Angel Trail to Phantom Overlook to South Kaibab Trail,Arizona,10.8324,27841.582000000002,5,3.0,5.0
10315767,South Kaibab Trail to Tip Off,Arizona,10.6545,14484.06,5,2.0,5.0
10023828,Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,Arizona,10.3784,88513.7,1,2.0,4.5
10112001,Safford Peak Trail,Arizona,10.3328,3862.4159999999997,3,2.0,4.0
10042232,Thunder Creek to Deer Creek and Thunder Falls,Arizona,10.2641,46670.86,5,1.0,5.0
10365390,Rim to Rim: North to South and Ribbon Falls,Arizona,10.1704,49889.54,7,3.0,4.5
10267208,Gould Mine,Arizona,10.0467,3701.482,3,2.0,4.5
10293249,"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop",Arizona,9.9618,11426.313999999998,3,2.0,4.5
10258317,Grand Canyon Rim Village to Hermit's Rest,Arizona,9.9197,24622.902000000002,1,3.0,4.5
10002324,Desert View Visitor Center Trail,Arizona,9.7326,643.736,1,4.0,4.0
10274527,Coconino Overlook,Arizona,9.609,2092.1420000000003,1,1.0,4.0
10009628,Uncle Jim Trail,Arizona,9.5621,7563.898,1,2.0,4.0
10009444,Dripping Springs via Dripping Springs and Hermit Trail,Arizona,9.227,10138.841999999999,5,1.0,4.5
10251377,Giant Logs Trail,Arizona,9.1802,965.6039999999999,1,2.0,4.0
10042018,Onyx Bridge Trail,Arizona,8.7642,7402.964,3,1.0,4.0
10331092,North Kaibab Trail to Redwall Bridge,Arizona,8.6888,11104.446000000002,5,2.0,5.0
10002217,Valley View Overlook Trail,Arizona,8.6324,1287.472,1,1.0,4.0
10041071,Cactus Forest Loop Drive,Arizona,8.6024,16576.202,1,2.0,4.0
10236028,Long Logs and Agate House Loop Trail,Arizona,8.5243,3379.614,1,2.0,4.0
10259343,Tanner Trail,Arizona,8.5202,21404.222,7,1.0,5.0
10306310,Loma Verde and Squeeze Pen Loop,Arizona,8.4605,5954.558000000001,3,2.0,4.5
10039522,Hope Camp,Arizona,8.2704,10460.71,3,2.0,4.5
10304719,"South Kaibab, Tonto and Bright Angel Trail",Arizona,8.2646,19955.816000000003,7,3.0,5.0
10032774,Garwood Trail,Arizona,8.2525,5310.821999999999,1,,4.5
10111504,Garwood Dam To Douglas Spring Loop Trail,Arizona,7.9559,10460.71,1,2.0,4.5
10246734,South to North Kaibab Trail,Arizona,7.7075,31060.262000000002,5,2.0,5.0
10281018,Tanque Verde Ridge,Arizona,7.7075,5310.821999999999,3,1.0,4.5
10038311,Freeman Homestead Nature Trail,Arizona,7.6339,1770.274,1,1.0,4.0
10258602,Point Imperial,Arizona,7.5684,160.934,1,2.0,4.5
10011949,Sendero Esperanza Trail,Arizona,7.5414,8046.7,3,2.0,4.0
10298010,Douglas Spring to Three Tank Trail Junction,Arizona,7.479,7242.03,3,2.0,4.0
10302747,West Rim Trail: Hermits Rest to Powell Point,Arizona,7.4072,19312.08,1,3.0,4.5
10259900,Saguaro National Park West and Old Tucson Studios Scenic Drive,Arizona,7.2569,63086.128,1,2.0,4.5
10235597,Roosevelt Point Trail,Arizona,7.2201,482.80199999999996,1,1.0,4.0
10311930,Petroglyphs at King Canyon,Arizona,7.1664,3540.548,3,2.0,4.0
10013382,South Bass Trail,Arizona,7.1647,19633.948,7,1.0,4.5
10236023,Puerco Pueblo Trail,Arizona,7.0465,482.80199999999996,1,1.0,4.0
10111280,Cactus Forest Trail,Arizona,7.0254,16093.4,3,2.0,4.0
10258739,The Escalante Route Trail,Arizona,6.9609,56005.032,5,1.0,4.5
10023951,Nankoweap Trail,Arizona,6.9456,49406.738,7,1.0,4.5
10270136,Devil's Playground Loop,Arizona,6.9205,12070.05,3,1.0,4.5
10287374,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",Arizona,6.8368,5310.821999999999,1,2.0,4.5
10272964,Hermit Trail to Dripping Springs,Arizona,6.8325,8529.502,5,1.0,5.0
10035690,Ridge View Trail,Arizona,6.7822,3701.482,3,2.0,4.5
10258650,Cliff Springs Trail,Arizona,6.6276,1770.274,1,2.0,4.0
10258659,Walhalla Overlook,Arizona,6.4591,160.934,1,2.0,4.5
10258654,Widforss Trail - Short Option,Arizona,6.3809,6920.161999999999,1,1.0,4.5
10315676,Mica View Trail to Cactus Forest Trail,Arizona,6.3801,3057.7459999999996,1,1.0,4.0
