Year,State,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
2013,Alabama,Horseshoe Bend NMP,"55,965",-4.61%,"749,857",4.48%
2013,Alabama,Little River Canyon NPRES,"185,477",-7.77%,"749,857",4.48%
2013,Alabama,Natchez Trace PKWY,"420,892",8.13%,"749,857",4.48%
2013,Alabama,Russell Cave NM,"20,456",-2.38%,"749,857",4.48%
2013,Alabama,Tuskegee Airmen NHS,"19,301",-18.62%,"749,857",4.48%
2013,Alabama,Tuskegee Institute NHS,"47,766",98.78%,"749,857",4.48%
2013,Alaska,Aniakchak NM & PRES,134,605.26%,"2,585,980",7.19%
2013,Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,585,980",7.19%
2013,Alaska,Cape Krusenstern NM,"18,225",-26.95%,"2,585,980",7.19%
2013,Alaska,Denali NP & PRES,"530,922",36.68%,"2,585,980",7.19%
2013,Alaska,Gates of the Arctic NP & PRES,"11,012",1.04%,"2,585,980",7.19%
2013,Alaska,Glacier Bay NP & PRES,"500,590",10.18%,"2,585,980",7.19%
2013,Alaska,Katmai NP & PRES,"28,966",-27.25%,"2,585,980",7.19%
2013,Alaska,Kenai Fjords NP,"283,502",0.79%,"2,585,980",7.19%
2013,Alaska,Klondike Gold Rush NHP Alaska,"928,150",8.65%,"2,585,980",7.19%
2013,Alaska,Kobuk Valley NP,"16,875",-42.89%,"2,585,980",7.19%
2013,Alaska,Lake Clark NP & PRES,"13,000",11.69%,"2,585,980",7.19%
2013,Alaska,Noatak NPRES,"16,907",-45.46%,"2,585,980",7.19%
2013,Alaska,Sitka NHP,"161,157",-17.42%,"2,585,980",7.19%
2013,Alaska,Wrangell-St. Elias NP & PRES,"69,984",-19.70%,"2,585,980",7.19%
2013,Alaska,Yukon-Charley Rivers NPRES,"3,914",180.98%,"2,585,980",7.19%
2013,American Samoa,National Park of American Samoa,"17,919",71.64%,"17,919",71.64%
2013,Arizona,Canyon de Chelly NM,"828,478",-0.01%,"10,103,264",1.24%
2013,Arizona,Casa Grande Ruins NM,"65,106",-5.14%,"10,103,264",1.24%
2013,Arizona,Chiricahua NM,"40,646",-1.25%,"10,103,264",1.24%
2013,Arizona,Coronado NMEM,"92,936",-4.76%,"10,103,264",1.24%
2013,Arizona,Fort Bowie NHS,"8,082",1.46%,"10,103,264",1.24%
2013,Arizona,Glen Canyon NRA,"159,354",-3.37%,"10,103,264",1.24%
2013,Arizona,Grand Canyon NP,"4,564,840",3.25%,"10,103,264",1.24%
2013,Arizona,Hubbell Trading Post NHS,"75,678",0.82%,"10,103,264",1.24%
2013,Arizona,Lake Mead NRA,"1,586,179",0.94%,"10,103,264",1.24%
2013,Arizona,Montezuma Castle NM,"389,091",-14.54%,"10,103,264",1.24%
2013,Arizona,Navajo NM,"54,168",-6.96%,"10,103,264",1.24%
2013,Arizona,Organ Pipe Cactus NM,"206,860",27.89%,"10,103,264",1.24%
2013,Arizona,Petrified Forest NP,"644,648",-3.04%,"10,103,264",1.24%
2013,Arizona,Pipe Spring NM,"51,118",-6.53%,"10,103,264",1.24%
2013,Arizona,Saguaro NP,"678,261",6.93%,"10,103,264",1.24%
2013,Arizona,Sunset Crater Volcano NM,"184,864",3.98%,"10,103,264",1.24%
2013,Arizona,Tonto NM,"39,632",-23.61%,"10,103,264",1.24%
2013,Arizona,Tumacacori NHP,"31,433",-10.60%,"10,103,264",1.24%
2013,Arizona,Tuzigoot NM,"85,746",-11.95%,"10,103,264",1.24%
2013,Arizona,Walnut Canyon NM,"125,267",13.11%,"10,103,264",1.24%
2013,Arizona,Wupatki NM,"190,878",-5.21%,"10,103,264",1.24%
2013,Arkansas,Arkansas Post NMEM,"36,420",-8.27%,"2,776,183",1.79%
2013,Arkansas,Buffalo NR,"1,125,227",2.94%,"2,776,183",1.79%
2013,Arkansas,Fort Smith NHS,"69,584",-20.37%,"2,776,183",1.79%
2013,Arkansas,Hot Springs NP,"1,325,719",1.78%,"2,776,183",1.79%
2013,Arkansas,Little Rock Central High School NHS,"114,144",78.52%,"2,776,183",1.79%
2013,Arkansas,Pea Ridge NMP,"95,251",-27.79%,"2,776,183",1.79%
2013,Arkansas,President W.J. Clinton Birthplace Home NHS,"9,838",10.14%,"2,776,183",1.79%
2013,California,Cabrillo NM,"856,128",-2.49%,"35,575,100",-1.16%
2013,California,Cesar E. Chavez NM,"8,157",,"35,575,100",-1.16%
2013,California,Channel Islands NP,"212,029",-15.05%,"35,575,100",-1.16%
2013,California,Death Valley NP,"951,972",-3.31%,"35,575,100",-1.16%
2013,California,Devils Postpile NM,"91,794",4.50%,"35,575,100",-1.16%
2013,California,Eugene O'Neill NHS,"2,929",5.02%,"35,575,100",-1.16%
2013,California,Fort Point NHS,"1,591,312",5.89%,"35,575,100",-1.16%
2013,California,Golden Gate NRA,"14,289,121",-1.73%,"35,575,100",-1.16%
2013,California,John Muir NHS,"37,777",1.00%,"35,575,100",-1.16%
2013,California,Joshua Tree NP,"1,383,340",-0.92%,"35,575,100",-1.16%
2013,California,Kings Canyon NP,"567,544",-3.97%,"35,575,100",-1.16%
